"STATION","NAME","DATE","PRCP","TAVG"
"ASN00009021","PERTH AIRPORT, AS","1973-11","13.0","19.9"
"ASN00009021","PERTH AIRPORT, AS","1973-12","0.0","21.0"
"ASN00009021","PERTH AIRPORT, AS","1974-01","0.4","25.8"
"ASN00009021","PERTH AIRPORT, AS","1974-02","13.7","23.9"
"ASN00009021","PERTH AIRPORT, AS","1974-03","0.2","24.0"
"ASN00009021","PERTH AIRPORT, AS","1974-04","80.2","18.4"
"ASN00009021","PERTH AIRPORT, AS","1974-05","201.6","15.5"
"ASN00009021","PERTH AIRPORT, AS","1974-06","92.5","13.9"
"ASN00009021","PERTH AIRPORT, AS","1974-07","234.0","13.1"
"ASN00009021","PERTH AIRPORT, AS","1974-08","130.2","13.5"
"ASN00009021","PERTH AIRPORT, AS","1974-09","27.9","15.1"
"ASN00009021","PERTH AIRPORT, AS","1974-10","69.3","14.8"
"ASN00009021","PERTH AIRPORT, AS","1974-11","25.6","17.2"
"ASN00009021","PERTH AIRPORT, AS","1974-12","0.2","21.8"
"ASN00009021","PERTH AIRPORT, AS","1975-01","0.3","23.0"
"ASN00009021","PERTH AIRPORT, AS","1975-02","0.0","27.0"
"ASN00009021","PERTH AIRPORT, AS","1975-03","17.4","21.7"
"ASN00009021","PERTH AIRPORT, AS","1975-04","32.8","18.6"
"ASN00009021","PERTH AIRPORT, AS","1975-05","67.3","15.3"
"ASN00009021","PERTH AIRPORT, AS","1975-06","156.4","14.4"
"ASN00009021","PERTH AIRPORT, AS","1975-07","208.6","13.5"
"ASN00009021","PERTH AIRPORT, AS","1975-08","84.4","12.8"
"ASN00009021","PERTH AIRPORT, AS","1975-09","58.6","14.0"
"ASN00009021","PERTH AIRPORT, AS","1975-10","46.9","16.1"
"ASN00009021","PERTH AIRPORT, AS","1975-11","18.9","18.1"
"ASN00009021","PERTH AIRPORT, AS","1975-12","0.8","22.7"
"ASN00009021","PERTH AIRPORT, AS","1976-01","23.8","23.9"
"ASN00009021","PERTH AIRPORT, AS","1976-02","34.7","26.6"
"ASN00009021","PERTH AIRPORT, AS","1976-03","0.8","23.7"
"ASN00009021","PERTH AIRPORT, AS","1976-04","76.2","20.1"
"ASN00009021","PERTH AIRPORT, AS","1976-05","69.8","17.1"
